TimeStamp,Millis,Cam_Frame,systemTime
2025-06-24T10:13:42.3640960-04:00,36822364.1,10,2598.788352
2025-06-24T10:13:42.3928576-04:00,36822392.86,11,2598.818336
2025-06-24T10:13:42.4226560-04:00,36822422.66,12,2598.848352
2025-06-24T10:13:42.4741248-04:00,36822474.12,13,2598.898336
2025-06-24T10:13:42.5084928-04:00,36822508.49,14,2598.934336
2025-06-24T10:13:42.5443328-04:00,36822544.33,15,2598.968352
2025-06-24T10:13:42.5677568-04:00,36822567.76,16,2598.992352
2025-06-24T10:13:42.6027904-04:00,36822602.79,17,2599.028352
2025-06-24T10:13:42.6329344-04:00,36822632.93,18,2599.058336
2025-06-24T10:13:42.6627072-04:00,36822662.71,19,2599.088352
2025-06-24T10:13:42.6958336-04:00,36822695.83,20,2599.120352
2025-06-24T10:13:42.7303552-04:00,36822730.36,21,2599.154336
2025-06-24T10:13:42.7711872-04:00,36822771.19,22,2599.196352
2025-06-24T10:13:42.8014080-04:00,36822801.41,23,2599.226336
2025-06-24T10:13:42.8235008-04:00,36822823.5,24,2599.248352
2025-06-24T10:13:42.8750208-04:00,36822875.02,25,2599.300352
2025-06-24T10:13:42.9119616-04:00,36822911.96,26,2599.336352
2025-06-24T10:13:42.9345664-04:00,36822934.57,27,2599.360352
2025-06-24T10:13:42.9672192-04:00,36822967.22,28,2599.392352
2025-06-24T10:13:43.0006912-04:00,36823000.69,29,2599.426336
2025-06-24T10:13:43.0354432-04:00,36823035.44,30,2599.460352
2025-06-24T10:13:43.0638336-04:00,36823063.83,31,2599.488352
2025-06-24T10:13:43.0949376-04:00,36823094.94,32,2599.520352
2025-06-24T10:13:43.1276800-04:00,36823127.68,33,2599.552352
2025-06-24T10:13:43.1597056-04:00,36823159.71,34,2599.584352
2025-06-24T10:13:43.1919232-04:00,36823191.92,35,2599.616352
2025-06-24T10:13:43.2232448-04:00,36823223.24,36,2599.648352
2025-06-24T10:13:43.2861056-04:00,36823286.11,37,2599.710336
2025-06-24T10:13:43.3054720-04:00,36823305.47,38,2599.730336
2025-06-24T10:13:43.3397248-04:00,36823339.72,39,2599.764352
2025-06-24T10:13:43.3769984-04:00,36823377,40,2599.802336
2025-06-24T10:13:43.3991040-04:00,36823399.1,41,2599.824352
2025-06-24T10:13:43.4305536-04:00,36823430.55,42,2599.856352
2025-06-24T10:13:43.4646784-04:00,36823464.68,43,2599.890336
2025-06-24T10:13:43.4994688-04:00,36823499.47,44,2599.924352
2025-06-24T10:13:43.5281280-04:00,36823528.13,45,2599.952352
2025-06-24T10:13:43.5635584-04:00,36823563.56,46,2599.988352
2025-06-24T10:13:43.5945856-04:00,36823594.59,47,2600.020352
2025-06-24T10:13:43.6277760-04:00,36823627.78,48,2600.052352
2025-06-24T10:13:43.6713344-04:00,36823671.33,49,2600.096352
2025-06-24T10:13:43.7111808-04:00,36823711.18,50,2600.136352
2025-06-24T10:13:43.7474560-04:00,36823747.46,51,2600.170336
2025-06-24T10:13:43.7681152-04:00,36823768.12,52,2600.192352
2025-06-24T10:13:43.8124160-04:00,36823812.42,53,2600.236352
